"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000435","YBR231C","S. cerevisiae","SWC5","SWr Complex"
"SGD:S000000438","YBR234C","S. cerevisiae","ARC40","ARp2/3 Complex subunit"
"SGD:S000000449","YBR245C","S. cerevisiae","ISW1","Imitation SWitch subfamily"
"SGD:S000000451","YBR247C","S. cerevisiae","ENP1","Essential Nuclear Protein"
"SGD:S000000455","YBR251W","S. cerevisiae","MRPS5","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000000457","YBR253W","S. cerevisiae","SRB6","Suppressor of RNA polymerase B"
"SGD:S000000458","YBR254C","S. cerevisiae","TRS20","TRapp Subunit"
"SGD:S000000461","YBR257W","S. cerevisiae","POP4","Processing Of Precursor RNAs"
"SGD:S000000462","YBR258C","S. cerevisiae","SHG1","Set1c, Hypothetical G"
"SGD:S000000464","YBR260C","S. cerevisiae","RGD1","Related GAP Domain"
"SGD:S000000471","YBR267W","S. cerevisiae","REI1","REquired for Isotropic bud growth"
"SGD:S000000482","YBR278W","S. cerevisiae","DPB3","DNA Polymerase B (II) subunit"
"SGD:S000000483","YBR279W","S. cerevisiae","PAF1","RNA Polymerase II Associated Factor"
"SGD:S000000484","YBR280C","S. cerevisiae","SAF1","SCF Associated Factor"
"SGD:S000000486","YBR282W","S. cerevisiae","MRPL27","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000492","YBR288C","S. cerevisiae","APM3","clathrin Adaptor Protein complex Medium chain"
"SGD:S000000493","YBR289W","S. cerevisiae","SNF5","Sucrose NonFermenting"
"SGD:S000000514","YCL008C","S. cerevisiae","STP22","STerile Pseudoreversion"
"SGD:S000000516","YCL010C","S. cerevisiae","SGF29","SaGa associated Factor"
"SGD:S000000517","YCL011C","S. cerevisiae","GBP2","G-strand Binding Protein"
"SGD:S000000521","YCL016C","S. cerevisiae","DCC1","Defective in sister Chromatid Cohesion"
"SGD:S000000522","YCL017C","S. cerevisiae","NFS1","NiFS-like"
"SGD:S000000529","YCL024W","S. cerevisiae","KCC4",""
"SGD:S000000536","YCL031C","S. cerevisiae","RRP7","Ribosomal RNA Processing"
"SGD:S000000537","YCL032W","S. cerevisiae","STE50","STErile"
"SGD:S000000542","YCL037C","S. cerevisiae","SRO9","Suppressor of rho3"
"SGD:S000000548","YCL043C","S. cerevisiae","PDI1","Protein Disulfide Isomerase"
"SGD:S000000553","YCL048W","S. cerevisiae","SPS22","SPorulation Specific 2 too (2)"
"SGD:S000000559","YCL054W","S. cerevisiae","SPB1","Suppressor of PaB1 mutant"
"SGD:S000000564","YCL059C","S. cerevisiae","KRR1","contains KRR-R motif"
"SGD:S000000595","YCR002C","S. cerevisiae","CDC10","Cell Division Cycle"
"SGD:S000000597","YCR004C","S. cerevisiae","YCP4",""
"SGD:S000000602","YCR009C","S. cerevisiae","RVS161","Reduced Viability on Starvation"
"SGD:S000000605","YCR012W","S. cerevisiae","PGK1","3-PhosphoGlycerate Kinase"
"SGD:S000000607","YCR014C","S. cerevisiae","POL4","POLymerase"
"SGD:S000000614","YCR020C-A","S. cerevisiae","MAK31","MAintenance of Killer"
"SGD:S000000618","YCR024C","S. cerevisiae","SLM5","Synthetic Lethal with Mss4"
"SGD:S000000626","YCR030C","S. cerevisiae","SYP1","Suppressor of Yeast Profilin deletion"
"SGD:S000000627","YCR031C","S. cerevisiae","RPS14A","Ribosomal Protein of the Small subunit"
"SGD:S000000629","YCR033W","S. cerevisiae","SNT1","SaNT domains"
"SGD:S000000631","YCR035C","S. cerevisiae","RRP43","Ribosomal RNA Processing"
"SGD:S000000638","YCR042C","S. cerevisiae","TAF2","TATA binding protein-Associated Factor"
"SGD:S000000642","YCR046C","S. cerevisiae","IMG1","Integrity of Mitochondrial Genome"
"SGD:S000000648","YCR052W","S. cerevisiae","RSC6","Remodel the Structure of Chromatin"
"SGD:S000000653","YCR057C","S. cerevisiae","PWP2","Periodic tryptophan (W) Protein"
"SGD:S000000656","YCR060W","S. cerevisiae","TAH1","Tpr-containing protein Associated with Hsp90"
"SGD:S000000659","YCR063W","S. cerevisiae","BUD31","BUD site selection"
"SGD:S000000662","YCR066W","S. cerevisiae","RAD18","RADiation sensitive"
"SGD:S000000667","YCR071C","S. cerevisiae","IMG2","Integrity of Mitochondrial Genome"
"SGD:S000000668","YCR072C","S. cerevisiae","RSA4","RiboSome Assembly"
"SGD:S000000672","YCR076C","S. cerevisiae","FUB1","FUnction of Boundary"
"SGD:S000000673","YCR077C","S. cerevisiae","PAT1","Protein Associated with Topoisomerase II"
"SGD:S000000677","YCR081W","S. cerevisiae","SRB8","Suppressor of RNA polymerase B"
"SGD:S000000684","YCR088W","S. cerevisiae","ABP1","Actin Binding Protein"
"SGD:S000000688","YCR092C","S. cerevisiae","MSH3","MutS Homolog"
"SGD:S000000689","YCR093W","S. cerevisiae","CDC39","Cell Division Cycle"
"SGD:S000000691","YCR095C","S. cerevisiae","OCA4","Oxidant-induced Cell-cycle Arrest"
"SGD:S000000718","YCR073W-A","S. cerevisiae","SOL2","Suppressor Of Los1-1"
"SGD:S000000728","YEL002C","S. cerevisiae","WBP1","Wheat germ agglutinin-Binding Protein"
"SGD:S000000729","YEL003W","S. cerevisiae","GIM4","Gene Involved in Microtubule biogenesis"
"SGD:S000000739","YEL013W","S. cerevisiae","VAC8","VACuole related"
"SGD:S000000741","YEL015W","S. cerevisiae","EDC3","Enhancer of mRNA DeCapping"
"SGD:S000000744","YEL018W","S. cerevisiae","EAF5","Esa1p-Associated Factor"
"SGD:S000000748","YEL022W","S. cerevisiae","GEA2","Guanine nucleotide Exchange on ARF"
"SGD:S000000752","YEL026W","S. cerevisiae","SNU13","Small NUclear ribonucleoprotein associated"
"SGD:S000000760","YEL034W","S. cerevisiae","HYP2","HYPusine-containing protein"
"SGD:S000000762","YEL036C","S. cerevisiae","ANP1","ANP and osmotic sensitive"
"SGD:S000000763","YEL037C","S. cerevisiae","RAD23","RADiation sensitive"
"SGD:S000000777","YEL051W","S. cerevisiae","VMA8","Vacuolar Membrane Atpase"
"SGD:S000000779","YEL053C","S. cerevisiae","MAK10","MAintenance of Killer"
"SGD:S000000780","YEL054C","S. cerevisiae","RPL12A","Ribosomal Protein of the Large subunit"
"SGD:S000000781","YEL055C","S. cerevisiae","POL5","POLymerase"
"SGD:S000000782","YEL056W","S. cerevisiae","HAT2","Histone AcetylTransferase"
"SGD:S000000784","YEL058W","S. cerevisiae","PCM1","PhosphoaCetylglucosamine Mutase"
"SGD:S000000808","YER006W","S. cerevisiae","NUG1","NUclear GTPase"
"SGD:S000000810","YER008C","S. cerevisiae","SEC3","SECretory"
"SGD:S000000814","YER012W","S. cerevisiae","PRE1","PRoteinase yscE"
"SGD:S000000819","YER017C","S. cerevisiae","AFG3","ATPase Family Gene"
"SGD:S000000820","YER018C","S. cerevisiae","SPC25","Spindle Pole Component"
"SGD:S000000823","YER021W","S. cerevisiae","RPN3","Regulatory Particle Non-ATPase"
"SGD:S000000824","YER022W","S. cerevisiae","SRB4","Suppressor of RNA polymerase B"
"SGD:S000000827","YER025W","S. cerevisiae","GCD11","General Control Derepressed"
"SGD:S000000829","YER027C","S. cerevisiae","GAL83","GALactose metabolism"
"SGD:S000000831","YER029C","S. cerevisiae","SMB1","SmB/B' homolog"
"SGD:S000000833","YER031C","S. cerevisiae","YPT31","Yeast Protein Two"
"SGD:S000000845","YER043C","S. cerevisiae","SAH1","S-Adenosyl-l-Homocysteine hydrolase"
"SGD:S000000852","YER050C","S. cerevisiae","RSM18","Ribosomal Small subunit of Mitochondria"
"SGD:S000000873","YER071C","S. cerevisiae","TDA2","Topoisomerase I Damage Affected"
"SGD:S000000876","YER074W","S. cerevisiae","RPS24A","Ribosomal Protein of the Small subunit"
"SGD:S000000883","YER081W","S. cerevisiae","SER3","SERine requiring"
"SGD:S000000884","YER082C","S. cerevisiae","UTP7","U Three Protein"
"SGD:S000000885","YER083C","S. cerevisiae","GET2","Guided Entry of Tail-anchored proteins"
"SGD:S000000888","YER086W","S. cerevisiae","ILV1","IsoLeucine-plus-Valine requiring"
"SGD:S000000891","YER089C","S. cerevisiae","PTC2","Phosphatase Two C"
"SGD:S000000892","YER090W","S. cerevisiae","TRP2","TRyPtophan"
"SGD:S000000894","YER092W","S. cerevisiae","IES5","Ino Eighty Subunit"
"SGD:S000000896","YER094C","S. cerevisiae","PUP3","PUtative Proteasome subunit"
"SGD:S000000904","YER102W","S. cerevisiae","RPS8B","Ribosomal Protein of the Small subunit"
"SGD:S000000906","YER104W","S. cerevisiae","RTT105","Regulator of Ty1 Transposition"
"SGD:S000000909","YER107C","S. cerevisiae","GLE2","GLFG LEthal"
"SGD:S000000912","YER110C","S. cerevisiae","KAP123","KAryoPherin"
"SGD:S000000913","YER111C","S. cerevisiae","SWI4","SWItching deficient"
"SGD:S000000914","YER112W","S. cerevisiae","LSM4","Like SM"
"SGD:S000000919","YER117W","S. cerevisiae","RPL23B","Ribosomal Protein of the Large subunit"
"SGD:S000000922","YER120W","S. cerevisiae","SCS2","Suppressor of Choline Sensitivity"
"SGD:S000000924","YER122C","S. cerevisiae","GLO3","GLyOxalase"
"SGD:S000000927","YER125W","S. cerevisiae","RSP5","Reverses Spt- Phenotype"
"SGD:S000000928","YER126C","S. cerevisiae","NSA2","Nop Seven Associated"
"SGD:S000000929","YER127W","S. cerevisiae","LCP5","Lethal with Conditional Pap1"
"SGD:S000000931","YER129W","S. cerevisiae","SAK1","Snf1 Activating Kinase"
"SGD:S000000933","YER131W","S. cerevisiae","RPS26B","Ribosomal Protein of the Small subunit"
"SGD:S000000935","YER133W","S. cerevisiae","GLC7","GLyCogen"
"SGD:S000000938","YER136W","S. cerevisiae","GDI1","GDP Dissociation Inhibitor"
"SGD:S000000941","YER139C","S. cerevisiae","RTR1","Regulator of TRanscription"
"SGD:S000000942","YER140W","S. cerevisiae","EMP65","ER Membrane Protein of 65 kDa"
"SGD:S000000948","YER146W","S. cerevisiae","LSM5","Like SM"
"SGD:S000000949","YER147C","S. cerevisiae","SCC4","Sister Chromatid Cohesion"
"SGD:S000000950","YER148W","S. cerevisiae","SPT15","SuPpressor of Ty insertions"
"SGD:S000000951","YER149C","S. cerevisiae","PEA2","PEAnut shmoo mutant"
"SGD:S000000953","YER151C","S. cerevisiae","UBP3","UBiquitin-specific Protease"
"SGD:S000000959","YER157W","S. cerevisiae","COG3","Conserved Oligomeric Golgi complex"
"SGD:S000000964","YER162C","S. cerevisiae","RAD4","RADiation sensitive"
"SGD:S000000966","YER164W","S. cerevisiae","CHD1","Chromatin organization modifier, Helicase, and DNA-binding domains"
"SGD:S000000967","YER165W","S. cerevisiae","PAB1","Poly(A) Binding protein"
"SGD:S000000973","YER171W","S. cerevisiae","RAD3","RADiation sensitive"
"SGD:S000000974","YER172C","S. cerevisiae","BRR2","Bad Response to Refrigeration"
"SGD:S000000979","YER177W","S. cerevisiae","BMH1","Brain Modulosignalin Homolog"
"SGD:S000000980","YER178W","S. cerevisiae","PDA1","Pyruvate Dehydrogenase Alpha"
"SGD:S000000993","YHL001W","S. cerevisiae","RPL14B","Ribosomal Protein of the Large subunit"
"SGD:S000000994","YHL002W","S. cerevisiae","HSE1","Has Symptoms of class E mutants; resembles Hbp, Stam and East"
"SGD:S000000996","YHL004W","S. cerevisiae","MRP4","Mitochondrial Ribosomal Protein"
"SGD:S000001003","YHL011C","S. cerevisiae","PRS3","PhosphoRibosylpyrophosphate Synthetase"
"SGD:S000001007","YHL015W","S. cerevisiae","RPS20","Ribosomal Protein of the Small subunit"
"SGD:S000001011","YHL019C","S. cerevisiae","APM2","clathrin Adaptor Protein complex Medium chain"
"SGD:S000001012","YHL020C","S. cerevisiae","OPI1","OverProducer of Inositol"
"SGD:S000001017","YHL025W","S. cerevisiae","SNF6","Sucrose NonFermenting"
"SGD:S000001021","YHL029C","S. cerevisiae","OCA5","Oxidant-induced Cell-cycle Arrest"
"SGD:S000001022","YHL030W","S. cerevisiae","ECM29","ExtraCellular Mutant"
"SGD:S000001025","YHL033C","S. cerevisiae","RPL8A","Ribosomal Protein of the Large subunit"
"SGD:S000001026","YHL034C","S. cerevisiae","SBP1",""
"SGD:S000001052","YHR010W","S. cerevisiae","RPL27A","Ribosomal Protein of the Large subunit"
"SGD:S000001054","YHR012W","S. cerevisiae","VPS29","Vacuolar Protein Sorting"
"SGD:S000001055","YHR013C","S. cerevisiae","ARD1","ARrest Defective"
"SGD:S000001062","YHR020W","S. cerevisiae","",""
"SGD:S000001065","YHR023W","S. cerevisiae","MYO1","MYOsin"
"SGD:S000001066","YHR024C","S. cerevisiae","MAS2","Mitochondrial ASsembly"
"SGD:S000001069","YHR027C","S. cerevisiae","RPN1","Regulatory Particle Non-ATPase"
"SGD:S000001071","YHR029C","S. cerevisiae","YHI9",""
"SGD:S000001076","YHR034C","S. cerevisiae","PIH1","Protein Interacting with Hsp90"
"SGD:S000001083","YHR041C","S. cerevisiae","SRB2","Suppressor of RNA polymerase B"
"SGD:S000001094","YHR052W","S. cerevisiae","CIC1","Core Interacting Component"
"SGD:S000001098","YHR056C","S. cerevisiae","RSC30","Remodel the Structure of Chromatin"
"SGD:S000001100","YHR058C","S. cerevisiae","MED6","MEDiator complex"
"SGD:S000001104","YHR062C","S. cerevisiae","RPP1","Ribonuclease P Protein"
"SGD:S000001106","YHR064C","S. cerevisiae","SSZ1",""
"SGD:S000001111","YHR069C","S. cerevisiae","RRP4","Ribosomal RNA Processing"
"SGD:S000001123","YHR081W","S. cerevisiae","LRP1","Like RrP6"
"SGD:S000001126","YHR084W","S. cerevisiae","STE12","STErile"
"SGD:S000001127","YHR085W","S. cerevisiae","IPI1","Involved in Processing ITS2"
"SGD:S000001128","YHR086W","S. cerevisiae","NAM8","Nuclear Accommodation of Mitochondria"
"SGD:S000001130","YHR088W","S. cerevisiae","RPF1","Ribosome Production Factor"
"SGD:S000001131","YHR089C","S. cerevisiae","GAR1","Glycine Arginine Rich"
"SGD:S000001132","YHR090C","S. cerevisiae","YNG2","Yeast iNG1 homolog"
"SGD:S000001141","YHR099W","S. cerevisiae","TRA1","similar to human TRRAP"
"SGD:S000001144","YHR102W","S. cerevisiae","KIC1","Kinase that Interacts with Cdc31p"
"SGD:S000001148","YHR106W","S. cerevisiae","TRR2","ThioRedoxin Reductase"
"SGD:S000001149","YHR107C","S. cerevisiae","CDC12","Cell Division Cycle"
"SGD:S000001152","YHR110W","S. cerevisiae","ERP5","Emp24p/Erv25p Related Protein"
"SGD:S000001160","YHR118C","S. cerevisiae","ORC6","Origin Recognition Complex"
"SGD:S000001161","YHR119W","S. cerevisiae","SET1","SET domain-containing"
"SGD:S000001163","YHR121W","S. cerevisiae","LSM12","Like SM"
"SGD:S000001164","YHR122W","S. cerevisiae","CIA2","Cytosolic Iron-sulfur protein Assembly"
"SGD:S000001173","YHR131C","S. cerevisiae","",""
"SGD:S000001183","YHR141C","S. cerevisiae","RPL42B","Ribosomal Protein of the Large subunit"
"SGD:S000001185","YHR143W-A","S. cerevisiae","RPC10","RNA Polymerase C"
"SGD:S000001189","YHR146W","S. cerevisiae","CRP1","Cruciform DNA-Recognizing Protein"
"SGD:S000001190","YHR147C","S. cerevisiae","MRPL6","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000001191","YHR148W","S. cerevisiae","IMP3","Interacting with Mpp10p"
"SGD:S000001199","YHR156C","S. cerevisiae","LIN1","LINk"
"SGD:S000001201","YHR158C","S. cerevisiae","KEL1","KELch repeat"
"SGD:S000001207","YHR164C","S. cerevisiae","DNA2","DNA synthesis defective"
"SGD:S000001208","YHR165C","S. cerevisiae","PRP8","Pre-mRNA Processing"
"SGD:S000001209","YHR166C","S. cerevisiae","CDC23","Cell Division Cycle"
"SGD:S000001210","YHR167W","S. cerevisiae","THP2","THO2 - HPR1 Phenotype"
"SGD:S000001213","YHR170W","S. cerevisiae","NMD3","Nonsense-Mediated mRNA Decay"
"SGD:S000001215","YHR172W","S. cerevisiae","SPC97","Spindle Pole Component"
"SGD:S000001217","YHR174W","S. cerevisiae","ENO2","ENOlase"
"SGD:S000001222","YHR179W","S. cerevisiae","OYE2","Old Yellow Enzyme"
"SGD:S000001230","YHR187W","S. cerevisiae","IKI1","Insensitive to KIller toxin"
"SGD:S000001234","YHR191C","S. cerevisiae","CTF8","Chromosome Transmission Fidelity"
"SGD:S000001236","YHR193C","S. cerevisiae","EGD2","Enhancer of Gal4 DNA binding"
"SGD:S000001239","YHR196W","S. cerevisiae","UTP9","U Three Protein"
"SGD:S000001240","YHR197W","S. cerevisiae","RIX1","RIbosome eXport"
"SGD:S000001243","YHR200W","S. cerevisiae","RPN10","Regulatory Particle Non-ATPase"
"SGD:S000001246","YHR203C","S. cerevisiae","RPS4B","Ribosomal Protein of the Small subunit"
"SGD:S000001247","YHR204W","S. cerevisiae","MNL1","MaNnosidase-Like protein"
"SGD:S000001251","YHR208W","S. cerevisiae","BAT1","Branched-chain Amino acid Transaminase"
"SGD:S000001259","YHR216W","S. cerevisiae","IMD2","IMP Dehydrogenase"
"SGD:S000001279","YIL017C","S. cerevisiae","VID28","Vacuolar Import and Degradation"
"SGD:S000001280","YIL018W","S. cerevisiae","RPL2B","Ribosomal Protein of the Large subunit"
"SGD:S000001283","YIL021W","S. cerevisiae","RPB3","RNA Polymerase B"
