"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000110","YBL014C","S. cerevisiae","RRN6","Regulation of RNA polymerase I"
"SGD:S000000111","YBL015W","S. cerevisiae","ACH1","Acetyl CoA Hydrolase"
"SGD:S000000112","YBL016W","S. cerevisiae","FUS3","cell FUSion"
"SGD:S000000113","YBL017C","S. cerevisiae","PEP1","carboxyPEPtidase Y-deficient"
"SGD:S000000115","YBL019W","S. cerevisiae","APN2","APurinic/apyrimidinic eNdonuclease"
"SGD:S000000116","YBL020W","S. cerevisiae","RFT1","Requiring Fifty-Three"
"SGD:S000000117","YBL021C","S. cerevisiae","HAP3","Heme Activator Protein"
"SGD:S000000118","YBL022C","S. cerevisiae","PIM1","Proteolysis In Mitochondria"
"SGD:S000000119","YBL023C","S. cerevisiae","MCM2","MiniChromosome Maintenance"
"SGD:S000000120","YBL024W","S. cerevisiae","NCL1","NuCLear protein"
"SGD:S000000122","YBL026W","S. cerevisiae","LSM2","Like SM"
"SGD:S000000126","YBL030C","S. cerevisiae","PET9","PETite"
"SGD:S000000128","YBL032W","S. cerevisiae","HEK2","HEterogeneous nuclear rnp K-like gene"
"SGD:S000000130","YBL034C","S. cerevisiae","STU1","Suppressor of TUbulin"
"SGD:S000000131","YBL035C","S. cerevisiae","POL12","POLymerase"
"SGD:S000000132","YBL036C","S. cerevisiae","",""
"SGD:S000000133","YBL037W","S. cerevisiae","APL3","clathrin Adaptor Protein complex Large chain"
"SGD:S000000134","YBL038W","S. cerevisiae","MRPL16","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000135","YBL039C","S. cerevisiae","URA7","URAcil requiring"
"SGD:S000000137","YBL041W","S. cerevisiae","PRE7","PRoteinase yscE"
"SGD:S000000139","YBL043W","S. cerevisiae","ECM13","ExtraCellular Mutant"
"SGD:S000000140","YBL044W","S. cerevisiae","",""
"SGD:S000000141","YBL045C","S. cerevisiae","COR1","CORe protein of QH2 cytochrome c reductase"
"SGD:S000000142","YBL046W","S. cerevisiae","PSY4","Platinum SensitivitY"
"SGD:S000000143","YBL047C","S. cerevisiae","EDE1","EH Domains and Endocytosis"
"SGD:S000000144","YBL048W","S. cerevisiae","RRT1","Regulator of rDNA Transcription"
"SGD:S000000148","YBL052C","S. cerevisiae","SAS3","Something About Silencing"
"SGD:S000000149","YBL053W","S. cerevisiae","",""
"SGD:S000000150","YBL054W","S. cerevisiae","TOD6","Twin Of Dot6p"
"SGD:S000000151","YBL055C","S. cerevisiae","",""
"SGD:S000000152","YBL056W","S. cerevisiae","PTC3","Phosphatase Two C"
"SGD:S000000153","YBL057C","S. cerevisiae","PTH2","Peptidyl-Trna Hydrolase"
"SGD:S000000154","YBL058W","S. cerevisiae","SHP1","Suppressor of High-copy PP1"
"SGD:S000000155","YBL059W","S. cerevisiae","IAI11","Interactor of AIm11"
"SGD:S000000156","YBL060W","S. cerevisiae","YEL1","Yeast EFA6-Like"
"SGD:S000000157","YBL061C","S. cerevisiae","SKT5",""
"SGD:S000000158","YBL062W","S. cerevisiae","",""
"SGD:S000000159","YBL063W","S. cerevisiae","KIP1","KInesin related Protein"
"SGD:S000000162","YBL066C","S. cerevisiae","SEF1","Suppressor of Essential Function"
"SGD:S000000163","YBL067C","S. cerevisiae","UBP13","UBiquitin-specific Protease"
"SGD:S000000167","YBL071C","S. cerevisiae","",""
"SGD:S000000170","YBL074C","S. cerevisiae","AAR2","A1-Alpha2 Repression"
"SGD:S000000171","YBL075C","S. cerevisiae","SSA3","Stress-Seventy subfamily A"
"SGD:S000000172","YBL076C","S. cerevisiae","ILS1","IsoLeucine-tRNA Synthetase"
"SGD:S000000173","YBL077W","S. cerevisiae","",""
"SGD:S000000174","YBL078C","S. cerevisiae","ATG8","AuTophaGy related"
"SGD:S000000175","YBL079W","S. cerevisiae","NUP170","NUclear Pore"
"SGD:S000000177","YBL081W","S. cerevisiae","",""
"SGD:S000000178","YBL082C","S. cerevisiae","ALG3","Asparagine Linked Glycosylation"
"SGD:S000000180","YBL084C","S. cerevisiae","CDC27","Cell Division Cycle"
"SGD:S000000181","YBL085W","S. cerevisiae","BOI1","Bem1 (One) Interacting protein"
"SGD:S000000182","YBL086C","S. cerevisiae","",""
"SGD:S000000183","YBL087C","S. cerevisiae","RPL23A","Ribosomal Protein of the Large subunit"
"SGD:S000000184","YBL088C","S. cerevisiae","TEL1","TELomere maintenance"
"SGD:S000000185","YBL089W","S. cerevisiae","AVT5","Amino acid Vacuolar Transport"
"SGD:S000000186","YBL090W","S. cerevisiae","MRP21","Mitochondrial Ribosomal Protein"
"SGD:S000000187","YBL091C","S. cerevisiae","MAP2","Methionine AminoPeptidase"
"SGD:S000000189","YBL093C","S. cerevisiae","ROX3","Regulation by OXygen"
"SGD:S000000190","YBL094C","S. cerevisiae","",""
"SGD:S000000193","YBL097W","S. cerevisiae","BRN1","homolog of BaRreN"
"SGD:S000000194","YBL098W","S. cerevisiae","BNA4","Biosynthesis of Nicotinic Acid"
"SGD:S000000195","YBL099W","S. cerevisiae","ATP1","ATP synthase"
"SGD:S000000197","YBL101C","S. cerevisiae","ECM21","ExtraCellular Mutant"
"SGD:S000000199","YBL103C","S. cerevisiae","RTG3","ReTroGrade regulation"
"SGD:S000000200","YBL104C","S. cerevisiae","SEA4","SEh1-Associated"
"SGD:S000000201","YBL105C","S. cerevisiae","PKC1","Protein Kinase C"
"SGD:S000000202","YBL106C","S. cerevisiae","SRO77","Suppressor of rho3"
"SGD:S000000205","YBR001C","S. cerevisiae","NTH2","Neutral TreHalase"
"SGD:S000000210","YBR006W","S. cerevisiae","UGA2","Utilization of GAba"
"SGD:S000000213","YBR009C","S. cerevisiae","HHF1","Histone H Four"
"SGD:S000000214","YBR010W","S. cerevisiae","HHT1","Histone H Three"
"SGD:S000000215","YBR011C","S. cerevisiae","IPP1","Inorganic PyroPhosphatase"
"SGD:S000000221","YBR017C","S. cerevisiae","KAP104","KAryoPherin"
"SGD:S000000223","YBR019C","S. cerevisiae","GAL10","GALactose metabolism"
"SGD:S000000224","YBR020W","S. cerevisiae","GAL1","GALactose metabolism"
"SGD:S000000227","YBR023C","S. cerevisiae","CHS3","CHitin Synthase-related"
"SGD:S000000228","YBR024W","S. cerevisiae","SCO2","Suppressor of Cytochrome Oxidase deficiency"
"SGD:S000000229","YBR025C","S. cerevisiae","OLA1","Obg-Like ATPase"
"SGD:S000000230","YBR026C","S. cerevisiae","ETR1","2-Enoyl Thioester Reductase"
"SGD:S000000231","YBR027C","S. cerevisiae","",""
"SGD:S000000232","YBR028C","S. cerevisiae","YPK3",""
"SGD:S000000233","YBR029C","S. cerevisiae","CDS1","CDP-Diacylglycerol Synthase"
"SGD:S000000234","YBR030W","S. cerevisiae","RKM3","Ribosomal lysine (K) Methyltransferase"
"SGD:S000000237","YBR033W","S. cerevisiae","EDS1","Expression Dependent on Slt2"
"SGD:S000000238","YBR034C","S. cerevisiae","HMT1","HnRNP MethylTransferase"
"SGD:S000000243","YBR039W","S. cerevisiae","ATP3","ATP synthase"
"SGD:S000000245","YBR041W","S. cerevisiae","FAT1","FATty acid transporter"
"SGD:S000000246","YBR042C","S. cerevisiae","CST26","Chromosome STability"
"SGD:S000000248","YBR044C","S. cerevisiae","TCM62","TriCarboxylic acid cycle Mutant"
"SGD:S000000249","YBR045C","S. cerevisiae","GIP1","Glc7-Interacting Protein"
"SGD:S000000250","YBR046C","S. cerevisiae","ZTA1","ZeTA-crystallin"
"SGD:S000000251","YBR047W","S. cerevisiae","FMP23","Found in Mitochondrial Proteome"
"SGD:S000000253","YBR049C","S. cerevisiae","REB1","RNA polymerase I Enhancer Binding protein"
"SGD:S000000254","YBR050C","S. cerevisiae","REG2","REsistance to Glucose repression"
"SGD:S000000258","YBR054W","S. cerevisiae","YRO2",""
"SGD:S000000259","YBR055C","S. cerevisiae","PRP6","Pre-mRNA Processing"
"SGD:S000000261","YBR057C","S. cerevisiae","MUM2","MUddled Meiosis"
"SGD:S000000262","YBR058C","S. cerevisiae","UBP14","UBiquitin-specific Protease"
"SGD:S000000263","YBR059C","S. cerevisiae","AKL1","Ark family Kinase-Like protein"
"SGD:S000000264","YBR060C","S. cerevisiae","ORC2","Origin Recognition Complex"
"SGD:S000000265","YBR061C","S. cerevisiae","TRM7","Transfer RNA Methyltransferase"
"SGD:S000000266","YBR062C","S. cerevisiae","",""
"SGD:S000000269","YBR065C","S. cerevisiae","ECM2","ExtraCellular Mutant"
"SGD:S000000270","YBR066C","S. cerevisiae","NRG2","Negative Regulator of Glucose-controlled genes"
"SGD:S000000271","YBR067C","S. cerevisiae","TIP1","Temperature shock-Inducible Protein"
"SGD:S000000273","YBR069C","S. cerevisiae","TAT1","Tyrosine and tryptophan Amino acid Transporter"
"SGD:S000000276","YBR072W","S. cerevisiae","HSP26","Heat Shock Protein"
"SGD:S000000277","YBR073W","S. cerevisiae","RDH54","RaD54 Homolog"
"SGD:S000000282","YBR078W","S. cerevisiae","ECM33","ExtraCellular Mutant"
"SGD:S000000283","YBR079C","S. cerevisiae","RPG1",""
"SGD:S000000284","YBR080C","S. cerevisiae","SEC18","SECretory"
"SGD:S000000285","YBR081C","S. cerevisiae","SPT7","SuPpressor of Ty's"
"SGD:S000000286","YBR082C","S. cerevisiae","UBC4","UBiquitin-Conjugating"
"SGD:S000000287","YBR083W","S. cerevisiae","TEC1","Transposon Enhancement Control"
"SGD:S000000288","YBR084W","S. cerevisiae","MIS1","MItochondrial C1-tetrahydrofolate Synthase"
"SGD:S000000289","YBR085W","S. cerevisiae","AAC3","ADP/ATP Carrier"
"SGD:S000000291","YBR087W","S. cerevisiae","RFC5","Replication Factor C"
"SGD:S000000292","YBR088C","S. cerevisiae","POL30","POLymerase"
"SGD:S000000293","YBR089W","S. cerevisiae","",""
"SGD:S000000297","YBR093C","S. cerevisiae","PHO5","PHOsphate metabolism"
"SGD:S000000298","YBR094W","S. cerevisiae","PBY1","P-BodY associated protein"
"SGD:S000000299","YBR095C","S. cerevisiae","RXT2",""
"SGD:S000000301","YBR097W","S. cerevisiae","VPS15","Vacuolar Protein Sorting"
"SGD:S000000302","YBR098W","S. cerevisiae","MMS4","Methyl MethaneSulfonate sensitivity"
"SGD:S000000304","YBR100W","S. cerevisiae","",""
"SGD:S000000305","YBR101C","S. cerevisiae","FES1","Factor Exchange for Ssa1p"
"SGD:S000000306","YBR102C","S. cerevisiae","EXO84","EXOcyst"
"SGD:S000000307","YBR103W","S. cerevisiae","SIF2","Sir4p-Interacting Factor"
"SGD:S000000308","YBR104W","S. cerevisiae","YMC2","Yeast Mitochondrial Carrier"
"SGD:S000000309","YBR105C","S. cerevisiae","VID24","Vacuolar Import and Degradation"
"SGD:S000000311","YBR107C","S. cerevisiae","IML3","Increased Minichromosome Loss"
"SGD:S000000312","YBR108W","S. cerevisiae","AIM3","Altered Inheritance rate of Mitochondria"
"SGD:S000000313","YBR109C","S. cerevisiae","CMD1","CalMoDulin"
"SGD:S000000316","YBR112C","S. cerevisiae","CYC8","CYtochrome C"
"SGD:S000000319","YBR115C","S. cerevisiae","LYS2","LYSine requiring"
"SGD:S000000321","YBR117C","S. cerevisiae","TKL2","TransKetoLase"
"SGD:S000000323","YBR119W","S. cerevisiae","MUD1","Mutant U1 Die"
"SGD:S000000325","YBR121C","S. cerevisiae","GRS1","Glycyl-tRNA Synthase"
"SGD:S000000326","YBR122C","S. cerevisiae","MRPL36","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000327","YBR123C","S. cerevisiae","TFC1","Transcription Factor class C"
"SGD:S000000329","YBR125C","S. cerevisiae","PTC4","Phosphatase Two C"
"SGD:S000000330","YBR126C","S. cerevisiae","TPS1","Trehalose-6-Phosphate Synthase"
"SGD:S000000331","YBR127C","S. cerevisiae","VMA2","Vacuolar Membrane Atpase"
"SGD:S000000332","YBR128C","S. cerevisiae","ATG14","AuTophaGy related"
"SGD:S000000334","YBR130C","S. cerevisiae","SHE3","Swi5p-dependent HO Expression"
"SGD:S000000335","YBR131W","S. cerevisiae","CCZ1","Calcium Caffeine Zinc sensitivity"
"SGD:S000000337","YBR133C","S. cerevisiae","HSL7","Histone Synthetic Lethal"
"SGD:S000000339","YBR135W","S. cerevisiae","CKS1","Cdc28 Kinase Subunit"
"SGD:S000000340","YBR136W","S. cerevisiae","MEC1","Mitosis Entry Checkpoint"
"SGD:S000000341","YBR137W","S. cerevisiae","",""
"SGD:S000000342","YBR138C","S. cerevisiae","",""
"SGD:S000000343","YBR139W","S. cerevisiae","ATG42","AuTophaGy"
"SGD:S000000344","YBR140C","S. cerevisiae","IRA1","Inhibitory Regulator of the RAS-cAMP pathway"
"SGD:S000000345","YBR141C","S. cerevisiae","BMT2","Base MethylTransferase of 25S RNA"
"SGD:S000000346","YBR142W","S. cerevisiae","MAK5","MAintenance of Killer"
"SGD:S000000347","YBR143C","S. cerevisiae","SUP45","SUPpressor"
"SGD:S000000350","YBR146W","S. cerevisiae","MRPS9","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000000352","YBR148W","S. cerevisiae","YSW1",""
"SGD:S000000353","YBR149W","S. cerevisiae","ARA1","D-ARAbinose dehydrogenase"
"SGD:S000000354","YBR150C","S. cerevisiae","TBS1","ThiaBendazole Sensitive"
"SGD:S000000355","YBR151W","S. cerevisiae","APD1","Actin Patches Distal"
"SGD:S000000356","YBR152W","S. cerevisiae","SPP381","Suppressor of PrP38-1"
"SGD:S000000358","YBR154C","S. cerevisiae","RPB5","RNA Polymerase B"
"SGD:S000000359","YBR155W","S. cerevisiae","CNS1","CyclophiliN Seven suppressor"
"SGD:S000000360","YBR156C","S. cerevisiae","SLI15","Synthetically Lethal with Ipl1"
"SGD:S000000363","YBR159W","S. cerevisiae","IFA38",""
"SGD:S000000364","YBR160W","S. cerevisiae","CDC28","Cell Division Cycle"
"SGD:S000000365","YBR161W","S. cerevisiae","CSH1","CSG1/SUR1 Homolog"
"SGD:S000000366","YBR162C","S. cerevisiae","TOS1","Target Of Sbf"
"SGD:S000000370","YBR166C","S. cerevisiae","TYR1","TYRosine"
"SGD:S000000371","YBR167C","S. cerevisiae","POP7","Processing Of Precursor RNAs"
"SGD:S000000372","YBR168W","S. cerevisiae","PEX32","PEroXisome related"
"SGD:S000000373","YBR169C","S. cerevisiae","SSE2","Stress Seventy subfamily E"
"SGD:S000000374","YBR170C","S. cerevisiae","NPL4","Nuclear Protein Localization"
"SGD:S000000375","YBR171W","S. cerevisiae","SEC66","SECretory"
"SGD:S000000376","YBR172C","S. cerevisiae","SMY2","Suppressor of MYo2-66"
"SGD:S000000377","YBR173C","S. cerevisiae","UMP1","Ubiquitin-Mediated Proteolysis"
"SGD:S000000379","YBR175W","S. cerevisiae","SWD3","Set1c, WD40 repeat protein"
"SGD:S000000380","YBR176W","S. cerevisiae","ECM31","ExtraCellular Mutant"
"SGD:S000000384","YBR180W","S. cerevisiae","DTR1","DiTyRosine"
"SGD:S000000389","YBR185C","S. cerevisiae","MBA1","Multi-copy Bypass of AFG3"
"SGD:S000000390","YBR186W","S. cerevisiae","PCH2","Pachytene CHeckpoint"
"SGD:S000000391","YBR187W","S. cerevisiae","GDT1","Gcr1 Dependent Translation factor"
"SGD:S000000392","YBR188C","S. cerevisiae","NTC20","Prp19p (NineTeen)-associated Complex"
"SGD:S000000393","YBR189W","S. cerevisiae","RPS9B","Ribosomal Protein of the Small subunit"
"SGD:S000000397","YBR193C","S. cerevisiae","MED8","MEDiator complex"
"SGD:S000000398","YBR194W","S. cerevisiae","AIM4","Altered Inheritance rate of Mitochondria"
"SGD:S000000399","YBR195C","S. cerevisiae","MSI1","Multicopy Suppressor of IRA1"
"SGD:S000000400","YBR196C","S. cerevisiae","PGI1","PhosphoGlucoIsomerase"
"SGD:S000000401","YBR197C","S. cerevisiae","",""
"SGD:S000000402","YBR198C","S. cerevisiae","TAF5","TATA binding protein-Associated Factor"
"SGD:S000000407","YBR203W","S. cerevisiae","COS111","Ciclopirox Olamine Sensitive"
"SGD:S000000411","YBR207W","S. cerevisiae","FTH1","FTR1 Homolog"
"SGD:S000000412","YBR208C","S. cerevisiae","DUR12","Degradation of URea"
"SGD:S000000415","YBR211C","S. cerevisiae","AME1","Associated with Microtubules and Essential"
"SGD:S000000416","YBR212W","S. cerevisiae","NGR1","Negative Growth Regulatory protein"
"SGD:S000000418","YBR214W","S. cerevisiae","SDS24","homolog of S. pombe SDS23"
"SGD:S000000419","YBR215W","S. cerevisiae","HPC2","Histone Periodic Control"
"SGD:S000000422","YBR218C","S. cerevisiae","PYC2","PYruvate Carboxylase"
"SGD:S000000424","YBR220C","S. cerevisiae","",""
"SGD:S000000425","YBR221C","S. cerevisiae","PDB1","Pyruvate Dehydrogenase Beta subunit"
"SGD:S000000426","YBR222C","S. cerevisiae","PCS60","Peroxisomal CoA-dependent Synthetase"
"SGD:S000000427","YBR223C","S. cerevisiae","TDP1","Tyrosyl-DNA Phosphodiesterase"
"SGD:S000000429","YBR225W","S. cerevisiae","",""
"SGD:S000000431","YBR227C","S. cerevisiae","MCX1","Mitochondrial ClpX"
"SGD:S000000432","YBR228W","S. cerevisiae","SLX1","Synthetic Lethal of unknown (X) function"
"SGD:S000000433","YBR229C","S. cerevisiae","ROT2","Reversal Of Tor2 lethality"
"SGD:S000000435","YBR231C","S. cerevisiae","SWC5","SWr Complex"
"SGD:S000000438","YBR234C","S. cerevisiae","ARC40","ARp2/3 Complex subunit"
"SGD:S000000439","YBR235W","S. cerevisiae","VHC1","Vacuolar protein Homologous to CCC family"
"SGD:S000000440","YBR236C","S. cerevisiae","ABD1",""
"SGD:S000000441","YBR237W","S. cerevisiae","PRP5","Pre-mRNA Processing"
"SGD:S000000442","YBR238C","S. cerevisiae","",""
"SGD:S000000443","YBR239C","S. cerevisiae","ERT1","Ethanol Regulated Transcription factor"
"SGD:S000000445","YBR241C","S. cerevisiae","VVS1","Vacuolar protein Vital for Stress response"
"SGD:S000000449","YBR245C","S. cerevisiae","ISW1","Imitation SWitch subfamily"
"SGD:S000000451","YBR247C","S. cerevisiae","ENP1","Essential Nuclear Protein"
"SGD:S000000452","YBR248C","S. cerevisiae","HIS7","HIStidine requiring"
"SGD:S000000453","YBR249C","S. cerevisiae","ARO4","AROmatic amino acid requiring"
"SGD:S000000455","YBR251W","S. cerevisiae","MRPS5","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000000457","YBR253W","S. cerevisiae","SRB6","Suppressor of RNA polymerase B"
"SGD:S000000458","YBR254C","S. cerevisiae","TRS20","TRapp Subunit"
"SGD:S000000459","YBR255W","S. cerevisiae","MTC4","Maintenance of Telomere Capping"
"SGD:S000000461","YBR257W","S. cerevisiae","POP4","Processing Of Precursor RNAs"
"SGD:S000000462","YBR258C","S. cerevisiae","SHG1","Set1c, Hypothetical G"
"SGD:S000000463","YBR259W","S. cerevisiae","",""
"SGD:S000000464","YBR260C","S. cerevisiae","RGD1","Related GAP Domain"
"SGD:S000000468","YBR264C","S. cerevisiae","YPT10","Yeast Protein Two"
"SGD:S000000471","YBR267W","S. cerevisiae","REI1","REquired for Isotropic bud growth"
"SGD:S000000472","YBR268W","S. cerevisiae","MRPL37","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000473","YBR269C","S. cerevisiae","SDH8","Succinate DeHydrogenase"
"SGD:S000000474","YBR270C","S. cerevisiae","BIT2","Binding partner of Tor2p"
"SGD:S000000477","YBR273C","S. cerevisiae","UBX7","UBiquitin regulatory X"
"SGD:S000000478","YBR274W","S. cerevisiae","CHK1","CHeckpoint Kinase"
"SGD:S000000479","YBR275C","S. cerevisiae","RIF1","RAP1-Interacting Factor"
"SGD:S000000480","YBR276C","S. cerevisiae","PPS1","Protein Phosphatase S phase"
"SGD:S000000482","YBR278W","S. cerevisiae","DPB3","DNA Polymerase B (II) subunit"
"SGD:S000000483","YBR279W","S. cerevisiae","PAF1","RNA Polymerase II Associated Factor"
"SGD:S000000484","YBR280C","S. cerevisiae","SAF1","SCF Associated Factor"
"SGD:S000000485","YBR281C","S. cerevisiae","DUG2","Deficient in Utilization of Glutathione"
"SGD:S000000486","YBR282W","S. cerevisiae","MRPL27","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000487","YBR283C","S. cerevisiae","SSH1","Sec Sixty-one Homolog"
"SGD:S000000492","YBR288C","S. cerevisiae","APM3","clathrin Adaptor Protein complex Medium chain"
"SGD:S000000493","YBR289W","S. cerevisiae","SNF5","Sucrose NonFermenting"
"SGD:S000000495","YBR291C","S. cerevisiae","CTP1","Citrate Transport Protein"
"SGD:S000000499","YBR295W","S. cerevisiae","PCA1","P-type Cation-transporting ATPase"
"SGD:S000000500","YBR296C","S. cerevisiae","PHO89","PHOsphate metabolism"
"SGD:S000000503","YBR299W","S. cerevisiae","MAL32","MALtose"
"SGD:S000000510","YCL004W","S. cerevisiae","PGS1","PhosphatidylGlycerolphosphate Synthase"
"SGD:S000000513","YCL007C","S. cerevisiae","",""
"SGD:S000000514","YCL008C","S. cerevisiae","STP22","STerile Pseudoreversion"
"SGD:S000000515","YCL009C","S. cerevisiae","ILV6","IsoLeucine Valine"
"SGD:S000000516","YCL010C","S. cerevisiae","SGF29","SaGa associated Factor"
"SGD:S000000517","YCL011C","S. cerevisiae","GBP2","G-strand Binding Protein"
"SGD:S000000520","YCL014W","S. cerevisiae","BUD3","BUD site selection"
"SGD:S000000521","YCL016C","S. cerevisiae","DCC1","Defective in sister Chromatid Cohesion"
"SGD:S000000522","YCL017C","S. cerevisiae","NFS1","NiFS-like"
"SGD:S000000523","YCL018W","S. cerevisiae","LEU2","LEUcine biosynthesis"
"SGD:S000000529","YCL024W","S. cerevisiae","KCC4",""
"SGD:S000000533","YCL028W","S. cerevisiae","RNQ1","Rich in asparagine (N) and glutamine (Q)"
"SGD:S000000534","YCL029C","S. cerevisiae","BIK1","BIlateral Karyogamy defect"
