,protein1,protein2,weight
82,YAL021C,YDL053C,0.14
83,YAL021C,YDL081C,0.16
84,YAL021C,YDR087C,0.11
85,YAL021C,YDR174W,0.12
86,YAL021C,YDR252W,0.73
87,YAL021C,YEL026W,0.16
88,YAL021C,YER013W,0.15
89,YAL021C,YER068W,0.15
90,YAL021C,YFL016C,0.11
91,YAL021C,YHR121W,0.11
92,YAL021C,YHR193C,0.14
93,YAL021C,YKL054C,0.16
94,YAL021C,YLR177W,0.16
95,YAL021C,YNR052C,0.6
96,YAL024C,YER162C,0.14
97,YAL024C,YHR158C,0.13
98,YAL024C,YNL312W,0.83
99,YAL026C,YML069W,0.38
100,YAL027W,YAL029C,0.1
101,YAL027W,YBR109C,0.14
102,YAL027W,YCR009C,0.63
103,YAL027W,YCR028C-A,0.34
104,YAL027W,YCR087C-A,0.14
105,YAL027W,YDL014W,0.81
106,YAL027W,YDL156W,0.18
107,YAL027W,YDR060W,0.11
108,YAL027W,YDR174W,0.11
109,YAL027W,YDR381W,0.72
110,YAL027W,YDR388W,0.72
111,YAL027W,YDR412W,0.21
112,YAL027W,YDR507C,0.1
113,YAL027W,YGL106W,0.6
114,YAL027W,YGR086C,0.11
115,YAL027W,YGR237C,0.1
116,YAL027W,YHR121W,0.11
117,YAL027W,YIL095W,0.5
118,YAL027W,YIL105C,0.34
119,YAL027W,YIL148W,0.12
120,YAL027W,YKL191W,0.13
121,YAL027W,YLL018C,0.51
122,YAL027W,YLR175W,0.11
123,YAL027W,YLR429W,0.99
124,YAL027W,YML095C,0.95
125,YAL027W,YMR078C,0.11
126,YAL027W,YNL106C,0.47
127,YAL027W,YNL312W,0.11
128,YAL027W,YOL077C,0.11
129,YAL027W,YOR206W,0.11
130,YAL027W,YOR294W,0.72
131,YAL027W,YOR326W,0.1
132,YAL027W,YPL004C,0.63
133,YAL027W,YPL022W,0.95
134,YAL027W,YPL146C,0.6
135,YAL027W,YPR169W,0.11
136,YAL027W,YPR171W,0.6
137,YAL029C,YML096W,0.14
138,YAL033W,YBR167C,0.23
139,YAL033W,YBR257W,0.3
140,YAL033W,YHR062C,0.98
141,YAL033W,YNL221C,0.53
142,YAL034C,YER110C,0.99
143,YAL034W-A,YDR381W,0.2
144,YAL034W-A,YGR032W,0.22
145,YAL034W-A,YIR010W,0.99
146,YAL034W-A,YMR117C,0.15
147,YAL034W-A,YPL233W,0.97
148,YAL041W,YKL155C,0.14
149,YAL043C,YAL046C,0.54
150,YAL043C,YBL076C,0.82
151,YAL043C,YBL101C,0.42
152,YAL043C,YBR119W,0.33
153,YAL043C,YDL199C,0.54
154,YAL043C,YDR195W,0.99
155,YAL043C,YGR156W,0.94
156,YAL043C,YJL052W,0.11
157,YAL043C,YJR093C,0.96
158,YAL043C,YKL059C,0.99
159,YAL043C,YLR115W,0.97
160,YAL043C,YLR277C,0.99
161,YAL043C,YLR303W,0.54
162,YAL051W,YCR087C-A,0.31
163,YAL051W,YDR060W,0.32
164,YAL051W,YDR412W,0.65
165,YAL051W,YIL036W,0.34
166,YAL051W,YKL172W,0.34
167,YAL051W,YLR197W,0.34
168,YAL051W,YOR310C,0.34
169,YAL051W,YPL146C,0.43
170,YAL051W,YPR169W,0.34
171,YAL059W,YMR124W,0.3
172,YAL060W,YGL167C,0.13
173,YAL060W,YKR093W,0.2
174,YAL060W,YNL087W,0.2
175,YAL060W,YNL327W,0.2
176,YAL061W,YAL060W,0.99
177,YAR002W,YGR067C,0.13
178,YAR002W,YIL130W,0.11
179,YAR002W,YLR335W,0.99
180,YAR002W,YLR347C,0.99
181,YAR002W,YNL189W,0.99
182,YAR003W,YBR175W,0.99
183,YAR003W,YDR469W,0.73
184,YAR003W,YER062C,0.22
185,YAR003W,YLR015W,0.99
186,YAR003W,YPL138C,0.89
187,YAR007C,YAR010C,0.13
188,YAR007C,YBL002W,0.93
189,YAR007C,YBL003C,0.12
190,YAR007C,YBR009C,0.14
191,YAR007C,YBR010W,0.14
192,YAR007C,YCR028C-A,0.16
193,YAR007C,YDL022W,0.11
194,YAR007C,YDL140C,0.51
195,YAR007C,YDL233W,0.11
196,YAR007C,YDR129C,0.5
197,YAR007C,YDR174W,0.57
198,YAR007C,YDR264C,0.11
199,YAR007C,YDR385W,0.18
200,YAR007C,YDR477W,0.11
201,YAR007C,YDR495C,0.1
202,YAR007C,YDR499W,0.11
203,YAR007C,YDR513W,0.11
204,YAR007C,YEL002C,0.13
205,YAR007C,YEL030W,0.34
206,YAR007C,YER087C-B,0.11
207,YAR007C,YFL014W,0.28
208,YAR007C,YGL106W,0.11
209,YAR007C,YGR008C,0.11
210,YAR007C,YGR080W,0.11
211,YAR007C,YGR086C,0.11
212,YAR007C,YHR164C,0.97
213,YAR007C,YJL173C,0.99
214,YAR007C,YKL154W,0.11
215,YAR007C,YLR314C,0.13
216,YAR007C,YLR429W,0.56
217,YAR007C,YMR089C,0.11
218,YAR007C,YNL263C,0.11
219,YAR007C,YNL312W,0.99
220,YAR007C,YOR355W,0.11
221,YAR007C,YPL004C,0.12
222,YAR007C,YPL084W,0.11
223,YAR015W,YPL240C,0.11
224,YAR044W,YAR015W,0.1
225,YAR044W,YAR042W,0.99
226,YAR044W,YDL164C,0.13
227,YAR044W,YDR148C,0.11
228,YAR044W,YDR183W,0.13
229,YAR044W,YFR024C,0.13
230,YAR044W,YHR205W,0.11
231,YAR044W,YKR089C,0.13
232,YAR044W,YNL329C,0.13
233,YAR044W,YOL122C,0.13
234,YAR044W,YOR326W,0.1
235,YAR071W,YAL062W,0.33
236,YAR071W,YBR079C,0.25
237,YAR071W,YBR093C,0.53
238,YAR071W,YCR038C,0.33
239,YAR071W,YDR155C,0.26
240,YAR071W,YFR055W,0.53
241,YAR071W,YGL245W,0.33
242,YAR071W,YIL035C,0.25
243,YAR071W,YNL209W,0.25
244,YAR071W,YOR361C,0.25
245,YAR071W,YOR375C,0.25
246,YAR073W,YCR053W,0.77
247,YAR073W,YHR197W,0.37
248,YAR073W,YHR216W,0.84
249,YAR073W,YLR432W,0.98
250,YAR073W,YML056C,0.98
251,YBL002W,YBL003C,0.94
252,YBL002W,YBR009C,0.94
253,YBL002W,YBR097W,0.12
254,YBL002W,YDR174W,0.11
255,YBL002W,YDR320C,0.11
256,YBL002W,YDR420W,0.11
257,YBL002W,YER060W,0.11
258,YBL002W,YGL207W,0.99
259,YBL002W,YGL241W,0.99
260,YBL002W,YIL035C,0.21
261,YBL002W,YJL001W,0.11
262,YBL002W,YJL042W,0.11
263,YBL002W,YJR114W,0.11
264,YBL002W,YKR048C,0.99
265,YBL002W,YML010W,0.11
266,YBL002W,YML014W,0.11
267,YBL002W,YML069W,0.99
268,YBL002W,YMR072W,0.54
269,YBL002W,YOL012C,0.99
270,YBL002W,YOL054W,0.92
271,YBL002W,YPR184W,0.11
272,YBL003C,YAL017W,0.12
273,YBL003C,YBL046W,0.77
274,YBL003C,YBR009C,0.94
275,YBL003C,YBR010W,0.96
276,YBL003C,YCL011C,0.11
277,YBL003C,YCR028C-A,0.37
278,YBL003C,YDR054C,0.11
279,YBL003C,YDR174W,0.94
280,YBL003C,YEL023C,0.11
281,YBL003C,YER095W,0.11
282,YBL003C,YGL207W,0.99
283,YBL003C,YGL241W,0.94
284,YBL003C,YHL024W,0.29
285,YBL003C,YHR052W,0.11
286,YBL003C,YHR089C,0.13
287,YBL003C,YIL035C,0.71
288,YBL003C,YIL148W,0.58
289,YBL003C,YIL173W,0.29
290,YBL003C,YJL034W,0.61
291,YBL003C,YKR048C,0.99
292,YBL003C,YLR150W,0.16
293,YBL003C,YLR153C,0.11
294,YBL003C,YML012W,0.11
295,YBL003C,YML069W,0.99
296,YBL003C,YML103C,0.54
297,YBL003C,YML109W,0.11
298,YBL003C,YMR044W,0.32
299,YBL003C,YMR072W,0.99
300,YBL003C,YNL102W,0.1
301,YBL003C,YNL201C,0.93
302,YBL003C,YOR058C,0.49
303,YBL003C,YOR061W,0.78
304,YBL003C,YOR159C,0.11
305,YBL003C,YPL127C,0.27
306,YBL003C,YPR052C,0.11
307,YBL008W,YBR215W,0.82
308,YBL016W,YBR072W,0.3
309,YBL016W,YDR171W,0.29
310,YBL016W,YLR259C,0.3
311,YBL016W,YNL246W,0.3
312,YBL017C,YBR079C,0.12
313,YBL017C,YMR229C,0.17
314,YBL019W,YCR028C-A,0.39
315,YBL021C,YOR358W,0.99
316,YBL022C,YER062C,0.17
317,YBL023C,YDR022C,0.11
318,YBL023C,YER062C,0.13
319,YBL023C,YER069W,0.11
320,YBL023C,YJL163C,0.11
321,YBL023C,YOR048C,0.14
322,YBL023C,YOR346W,0.11
323,YBL024W,YBL023C,0.1
324,YBL024W,YDL014W,0.98
325,YBL024W,YDR283C,0.11
326,YBL024W,YDR381W,0.29
327,YBL024W,YIL070C,0.99
328,YBL024W,YLR150W,0.29
329,YBL024W,YLR175W,0.11
330,YBL024W,YNL308C,0.11
331,YBL024W,YOL041C,0.15
332,YBL024W,YOR243C,0.11
333,YBL026W,YDL199C,0.17
334,YBL026W,YDR378C,0.19
335,YBL026W,YER146W,0.14
336,YBL026W,YJR022W,0.67
337,YBL026W,YMR268C,0.99
338,YBL032W,YBR017C,0.11
339,YBL032W,YCR028C-A,0.15
340,YBL032W,YGL105W,0.99
341,YBL032W,YGL229C,0.11
342,YBL032W,YGL245W,0.48
343,YBL032W,YLR045C,0.16
344,YBL032W,YLR175W,0.11
345,YBL032W,YNL183C,0.11
346,YBL032W,YNL238W,0.11
347,YBL035C,YHR127W,0.11
348,YBL035C,YLR006C,0.11
349,YBL035C,YNL102W,0.99
350,YBL035C,YOR355W,0.15
351,YBL035C,YPL240C,0.11
352,YBL036C,YLR150W,0.33
353,YBL036C,YNL247W,0.25
354,YBL037W,YNL265C,0.29
355,YBL037W,YOL062C,0.4
356,YBL038W,YGR093W,0.39
357,YBL038W,YJL200C,0.29
358,YBL038W,YKR006C,0.39
359,YBL038W,YLR399C,0.29
360,YBL039C,YGL022W,0.83
361,YBL039C,YGR170W,0.11
362,YBL039C,YKR101W,0.16
363,YBL039C,YLR347C,0.11
364,YBL039C,YLR387C,0.11
365,YBL039C,YMR025W,0.16
366,YBL039C,YMR205C,0.1
367,YBL039C,YNL209W,0.11
368,YBL039C,YOR113W,0.16
369,YBL039C,YPL167C,0.16
370,YBL041W,YFR050C,0.84
371,YBL041W,YGL011C,0.97
372,YBL041W,YGR135W,0.97
373,YBL041W,YGR253C,0.97
374,YBL041W,YJL001W,0.63
375,YBL041W,YML092C,0.98
376,YBL041W,YMR314W,0.39
377,YBL041W,YOL038W,0.98
378,YBL041W,YOR362C,0.97
379,YBL041W,YPR103W,0.94
380,YBL045C,YHR114W,0.11
381,YBL045C,YIL123W,0.15
382,YBL045C,YLR095C,0.15
383,YBL045C,YLR150W,0.17
384,YBL045C,YLR454W,0.15
385,YBL045C,YOR284W,0.15
386,YBL045C,YPR191W,0.99
387,YBL046W,YDR075W,0.99
388,YBL046W,YDR293C,0.89
389,YBL046W,YGR063C,0.13
390,YBL046W,YML010W,0.99
391,YBL046W,YNL201C,0.99
392,YBL047C,YJL148W,0.29
393,YBL052C,YBL003C,0.73
394,YBL052C,YBR010W,0.58
395,YBL052C,YGR068C,0.12
396,YBL052C,YPR031W,0.99
397,YBL056W,YBL079W,0.14
398,YBL056W,YIL063C,0.15
399,YBL056W,YLR240W,0.7
400,YBL056W,YPL061W,0.15
401,YBL056W,YPR160W,0.22
402,YBL058W,YAL024C,0.12
403,YBL058W,YBR155W,0.12
404,YBL058W,YDL126C,0.99
405,YBL058W,YDR283C,0.11
406,YBL058W,YDR388W,0.36
407,YBL058W,YHR064C,0.77
408,YBL058W,YLR249W,0.12
409,YBL067C,YER030W,0.42
410,YBL067C,YML105C,0.3
411,YBL067C,YOL087C,0.99
412,YBL071W-A,YAL020C,0.99
413,YBL071W-A,YBR019C,0.15
414,YBL071W-A,YCR009C,0.64
415,YBL071W-A,YDR174W,0.12
416,YBL071W-A,YDR385W,0.99
417,YBL071W-A,YDR388W,0.99
418,YBL071W-A,YEL037C,0.64
419,YBL071W-A,YGL106W,0.12
420,YBL071W-A,YGR258C,0.12
421,YBL071W-A,YHR103W,0.16
422,YBL071W-A,YIL103W,0.99
423,YBL071W-A,YKL191W,0.99
424,YBL071W-A,YLR384C,0.99
425,YBL071W-A,YLR429W,0.56
426,YBL071W-A,YNL271C,0.1
427,YBL074C,YCR030C,0.11
428,YBL074C,YDL148C,0.11
429,YBL074C,YDL215C,0.11
430,YBL074C,YDR040C,0.16
431,YBL074C,YGR074W,0.74
432,YBL074C,YHL008C,0.11
433,YBL074C,YHL009W-B,0.16
434,YBL074C,YHR042W,0.11
435,YBL074C,YHR165C,0.97
436,YBL074C,YJR080C,0.16
437,YBL074C,YJR105W,0.11
438,YBL074C,YLR147C,0.16
439,YBL074C,YLR347C,0.4
440,YBL074C,YMR029C,0.15
441,YBL074C,YNL087W,0.16
442,YBL074C,YOR159C,0.11
443,YBL074C,YPR182W,0.88
444,YBL076C,YKL171W,0.15
445,YBL076C,YMR207C,0.15
446,YBL076C,YOR001W,0.11
447,YBL079W,YDR129C,0.13
448,YBL079W,YDR388W,0.15
449,YBL079W,YGL106W,0.67
450,YBL079W,YLR429W,0.99
451,YBL079W,YMR153W,0.22
452,YBL079W,YPL146C,0.15
453,YBL084C,YGL240W,0.8
454,YBL086C,YDR087C,0.14
455,YBL086C,YDR289C,0.14
456,YBL086C,YLR045C,0.48
457,YBL086C,YLR259C,0.14
458,YBL091C,YBR072W,0.15
459,YBL091C,YDR381W,0.2
460,YBL091C,YDR388W,0.15
461,YBL093C,YBR193C,0.97
462,YBL093C,YBR253W,0.8
463,YBL093C,YDL005C,0.82
464,YBL093C,YDR308C,0.77
465,YBL093C,YDR381W,0.4
466,YBL093C,YER022W,0.98
467,YBL093C,YGL025C,0.97
468,YBL093C,YGL127C,0.82
469,YBL093C,YGR198W,0.29
470,YBL093C,YHR041C,0.18
471,YBL093C,YHR058C,0.82
472,YBL093C,YHR121W,0.3
473,YBL093C,YLR150W,0.4
474,YBL093C,YNR010W,0.98
475,YBL093C,YOL051W,0.98
476,YBL093C,YOL135C,0.12
477,YBL093C,YOR174W,0.97
478,YBL093C,YPR070W,0.98
479,YBL093C,YPR168W,0.97
480,YBL097W,YDR388W,0.3
481,YBL097W,YFR031C,0.98
482,YBL097W,YGR135W,0.29
483,YBL097W,YLR086W,0.84
484,YBL097W,YLR272C,0.85
485,YBL103C,YBL002W,0.25
486,YBL103C,YBR010W,0.98
487,YBL103C,YBR081C,0.25
488,YBL103C,YDR174W,0.26
489,YBL103C,YDR176W,0.25
490,YBL103C,YJL052W,0.26
491,YBL103C,YMR223W,0.25
492,YBL103C,YOL067C,0.97
493,YBR001C,YBR109C,0.67
494,YBR001C,YBR127C,0.99
495,YBR001C,YDR171W,0.99
496,YBR001C,YDR388W,0.15
497,YBR001C,YGL106W,0.67
498,YBR001C,YLR429W,0.15
499,YBR001C,YNL106C,0.15
500,YBR001C,YOL016C,0.15
501,YBR001C,YOR326W,0.13
502,YBR001C,YPR171W,0.26
503,YBR006W,YGR086C,0.15
504,YBR009C,YAL039C,0.13
505,YBR009C,YBR010W,0.94
506,YBR009C,YBR125C,0.11
507,YBR009C,YBR245C,0.1
508,YBR009C,YCL040W,0.66
509,YBR009C,YCR028C-A,0.15
510,YBR009C,YDL014W,0.11
511,YBR009C,YDL126C,0.22
512,YBR009C,YDL215C,0.11
513,YBR009C,YDR152W,0.11
514,YBR009C,YDR174W,0.83
515,YBR009C,YDR306C,0.12
516,YBR009C,YDR388W,0.11
517,YBR009C,YEL056W,0.99
518,YBR009C,YFL013C,0.11
519,YBR009C,YFL021W,0.13
520,YBR009C,YGL207W,0.99
521,YBR009C,YIL070C,0.84
522,YBR009C,YJL115W,0.87
523,YBR009C,YJL173C,0.11
524,YBR009C,YKR048C,0.15
525,YBR009C,YKR081C,0.11
526,YBR009C,YLL022C,0.94
527,YBR009C,YLR150W,0.13
528,YBR009C,YLR175W,0.11
529,YBR009C,YLR310C,0.13
530,YBR009C,YLR372W,0.13
531,YBR009C,YML069W,0.99
532,YBR009C,YMR044W,0.18
533,YBR009C,YMR072W,0.43
534,YBR009C,YMR284W,0.99
535,YBR009C,YNL312W,0.15
536,YBR009C,YOL006C,0.11
537,YBR009C,YOL031C,0.13
538,YBR009C,YOL054W,0.93
539,YBR009C,YOL077C,0.11
540,YBR009C,YOR191W,0.11
541,YBR009C,YOR217W,0.94
542,YBR009C,YPL001W,0.99
543,YBR009C,YPR052C,0.11
544,YBR010W,YBL002W,0.94
545,YBR010W,YBL094C,0.1
546,YBR010W,YBR090C-A,0.1
547,YBR010W,YBR245C,0.99
548,YBR010W,YCL016C,0.1
549,YBR010W,YDL048C,0.25
550,YBR010W,YDL117W,0.1
551,YBR010W,YDR174W,0.33
552,YBR010W,YDR176W,0.11
553,YBR010W,YEL056W,0.99
554,YBR010W,YFL004W,0.25
555,YBR010W,YGL097W,0.11
556,YBR010W,YGL122C,0.11
557,YBR010W,YGL207W,0.99
558,YBR010W,YGR081C,0.28
559,YBR010W,YGR160W,0.1
560,YBR010W,YIL070C,0.83
561,YBR010W,YIL168W,0.1
562,YBR010W,YJL115W,0.28
563,YBR010W,YKL010C,0.12
564,YBR010W,YKR048C,0.66
565,YBR010W,YLL022C,0.94
566,YBR010W,YLR150W,0.1
567,YBR010W,YML069W,0.99
568,YBR010W,YMR044W,0.32
569,YBR010W,YMR072W,0.14
570,YBR010W,YMR106C,0.11
571,YBR010W,YMR284W,0.82
572,YBR010W,YMR288W,0.28
573,YBR010W,YNL054W,0.88
574,YBR010W,YNL167C,0.29
575,YBR010W,YNL326C,0.25
576,YBR010W,YNL329C,0.25
577,YBR010W,YOL006C,0.11
578,YBR010W,YOL027C,0.1
579,YBR010W,YOL054W,0.2
580,YBR010W,YOR172W,0.12
581,YBR010W,YPL001W,0.99
582,YBR010W,YPL075W,0.26
583,YBR010W,YPR052C,0.29
584,YBR017C,YBR189W,0.98
585,YBR017C,YGL122C,0.99
586,YBR030W,YDR388W,0.15
587,YBR030W,YGL106W,0.64
588,YBR030W,YLR244C,0.99
589,YBR030W,YMR186W,0.13
590,YBR030W,YOR326W,0.15
591,YBR049C,YBL003C,0.35
592,YBR049C,YBL101W-B,0.11
593,YBR049C,YBR010W,0.11
594,YBR049C,YDL102W,0.15
595,YBR049C,YDR174W,0.15
596,YBR049C,YER007W,0.11
597,YBR049C,YER076C,0.11
598,YBR049C,YML127W,0.11
599,YBR049C,YMR035W,0.11
600,YBR049C,YMR196W,0.1
601,YBR049C,YOR261C,0.1
602,YBR054W,YBL084C,0.31
603,YBR054W,YDR381W,0.63
604,YBR055C,YDR378C,0.27
605,YBR055C,YER029C,0.28
606,YBR055C,YGR074W,0.17
607,YBR057C,YDL076C,0.24
608,YBR057C,YLL040C,0.32
609,YBR057C,YLR347C,0.24
610,YBR058C,YBL034C,0.16
611,YBR058C,YBR072W,0.11
612,YBR058C,YBR109C,0.12
613,YBR058C,YBR112C,0.35
614,YBR058C,YBR234C,0.12
615,YBR058C,YDL131W,0.11
616,YBR058C,YDL182W,0.3
617,YBR058C,YDL215C,0.11
618,YBR058C,YDR129C,0.11
619,YBR058C,YDR177W,0.11
620,YBR058C,YDR363W-A,0.2
621,YBR058C,YDR388W,0.44
622,YBR058C,YDR397C,0.11
623,YBR058C,YEL030W,0.5
624,YBR058C,YER098W,0.11
625,YBR058C,YFR034C,0.11
626,YBR058C,YGL106W,0.72
627,YBR058C,YGR116W,0.16
628,YBR058C,YIL094C,0.11
629,YBR058C,YIL116W,0.17
630,YBR058C,YIL126W,0.12
631,YBR058C,YIL148W,0.33
632,YBR058C,YKL165C-A,0.16
633,YBR058C,YLR177W,0.16
634,YBR058C,YLR226W,0.11
635,YBR058C,YLR320W,0.11
636,YBR058C,YLR384C,0.11
637,YBR058C,YML017W,0.11
638,YBR058C,YML072C,0.16
639,YBR058C,YMR028W,0.15
640,YBR058C,YMR108W,0.15
641,YBR058C,YOR046C,0.15
642,YBR058C,YOR198C,0.11
643,YBR058C,YOR329C,0.16
644,YBR058C,YPL084W,0.11
645,YBR058C,YPL085W,0.68
646,YBR058C,YPL183C,0.11
647,YBR058C,YPR042C,0.16
648,YBR058C,YPR127W,0.15
649,YBR060C,YBL002W,0.81
650,YBR060C,YBL003C,0.82
651,YBR060C,YBR009C,0.64
652,YBR060C,YBR010W,0.14
653,YBR060C,YDL053C,0.11
654,YBR060C,YDR174W,0.64
655,YBR060C,YDR310C,0.14
656,YBR060C,YDR381W,0.27
657,YBR060C,YGR167W,0.12
658,YBR060C,YHR118C,0.97
659,YBR060C,YJL087C,0.11
660,YBR060C,YLL004W,0.99
661,YBR060C,YLR150W,0.16
662,YBR060C,YLR185W,0.16
663,YBR060C,YML007W,0.16
664,YBR060C,YML065W,0.99
665,YBR060C,YMR025W,0.16
666,YBR060C,YMR072W,0.14
667,YBR060C,YMR233W,0.15
668,YBR060C,YOR294W,0.34
669,YBR060C,YPL001W,0.97
670,YBR060C,YPL216W,0.15
671,YBR060C,YPR052C,0.11
672,YBR060C,YPR162C,0.99
673,YBR061C,YAR070C,0.2
674,YBR061C,YIR026C,0.21
675,YBR061C,YKL210W,0.22
676,YBR062C,YMR083W,0.4
677,YBR067C,YER151C,0.77
678,YBR072W,YBR127C,0.77
679,YBR072W,YJL047C,0.29
680,YBR072W,YMR083W,0.4
681,YBR072W,YOR159C,0.29
682,YBR072W,YPR056W,0.29
683,YBR073W,YGR126W,0.22
684,YBR079C,YAL016W,0.49
685,YBR079C,YAL017W,0.12
686,YBR079C,YAL019W,0.11
687,YBR079C,YBL035C,0.17
688,YBR079C,YBR247C,0.15
689,YBR079C,YCR042C,0.17
690,YBR079C,YCR087C-A,0.15
691,YBR079C,YDL233W,0.17
692,YBR079C,YDR055W,0.17
693,YBR079C,YDR104C,0.17
694,YBR079C,YDR155C,0.11
695,YBR079C,YDR429C,0.99
696,YBR079C,YDR505C,0.15
697,YBR079C,YEL030W,0.15
698,YBR079C,YER025W,0.99
699,YBR079C,YGL106W,0.56
700,YBR079C,YGL136C,0.16
701,YBR079C,YGR258C,0.12
702,YBR079C,YJL187C,0.16
703,YBR079C,YJR007W,0.99
704,YBR079C,YJR045C,0.61
705,YBR079C,YKL182W,0.17
706,YBR079C,YLL057C,0.17
707,YBR079C,YLR127C,0.18
708,YBR079C,YLR192C,0.99
709,YBR079C,YLR259C,0.64
710,YBR079C,YML028W,0.12
711,YBR079C,YMR089C,0.17
712,YBR079C,YMR116C,0.12
713,YBR079C,YMR146C,0.97
714,YBR079C,YMR186W,0.3
715,YBR079C,YMR205C,0.12
716,YBR079C,YMR309C,0.97
717,YBR079C,YNL244C,0.77
718,YBR079C,YNL250W,0.11
719,YBR079C,YOR093C,0.15
720,YBR079C,YOR361C,0.99
721,YBR079C,YPL066W,0.12
722,YBR079C,YPR041W,0.99
723,YBR079C,YPR116W,0.34
724,YBR081C,YBR198C,0.88
725,YBR081C,YDR069C,0.12
726,YBR081C,YLR055C,0.99
727,YBR081C,YMR223W,0.5
728,YBR081C,YOL148C,0.84
729,YBR081C,YPL254W,0.14
730,YBR082C,YDL053C,0.25
731,YBR082C,YDR059C,0.83
732,YBR082C,YER068W,0.33
733,YBR082C,YKL010C,0.98
734,YBR082C,YOR257W,0.25
735,YBR082C,YOR294W,0.32
736,YBR084W,YDL130W,0.29
737,YBR084W,YDR535C,0.15
738,YBR084W,YIL152W,0.15
739,YBR084W,YOL138C,0.15
740,YBR087W,YBR010W,0.34
741,YBR087W,YCL016C,0.34
742,YBR087W,YDR087C,0.34
743,YBR087W,YDR171W,0.32
744,YBR087W,YEL026W,0.45
745,YBR087W,YJR068W,0.45
746,YBR087W,YLR150W,0.45
747,YBR087W,YLR223C,0.36
748,YBR087W,YML105C,0.45
749,YBR087W,YNL290W,0.82
750,YBR087W,YOR217W,0.98
751,YBR088C,YGR285C,0.23
752,YBR088C,YIL002C,0.15
753,YBR088C,YJL204C,0.15
754,YBR088C,YMR232W,0.15
755,YBR094W,YEL015W,0.96
756,YBR094W,YNL050C,0.16
757,YBR095C,YAL013W,0.87
758,YBR095C,YIL084C,0.99
759,YBR095C,YMR263W,0.97
760,YBR095C,YNL097C,0.99
761,YBR095C,YNL330C,0.96
762,YBR095C,YOL004W,0.99
763,YBR095C,YPL139C,0.96
764,YBR095C,YPL181W,0.99
765,YBR101C,YBL075C,0.14
766,YBR101C,YBR115C,0.99
767,YBR101C,YDL215C,0.13
768,YBR101C,YER129W,0.14
769,YBR101C,YHL009W-B,0.2
770,YBR101C,YJL073W,0.2
771,YBR101C,YJL076W,0.13
772,YBR101C,YJR155W,0.2
773,YBR101C,YLR433C,0.14
774,YBR101C,YNL318C,0.2
