"Gene > Primary DBID","Gene > Systematic Name","Gene > Organism . Short Name","Gene > Standard Name","Gene > Name"
"SGD:S000000154","YBL058W","S. cerevisiae","SHP1","Suppressor of High-copy PP1"
"SGD:S000000155","YBL059W","S. cerevisiae","IAI11","Interactor of AIm11"
"SGD:S000000157","YBL061C","S. cerevisiae","SKT5",""
"SGD:S000000159","YBL063W","S. cerevisiae","KIP1","KInesin related Protein"
"SGD:S000000160","YBL064C","S. cerevisiae","PRX1","PeroxiRedoXin"
"SGD:S000000161","YBL065W","S. cerevisiae","",""
"SGD:S000000162","YBL066C","S. cerevisiae","SEF1","Suppressor of Essential Function"
"SGD:S000000163","YBL067C","S. cerevisiae","UBP13","UBiquitin-specific Protease"
"SGD:S000000164","YBL068W","S. cerevisiae","PRS4","PhosphoRibosylpyrophosphate Synthetase"
"SGD:S000000167","YBL071C","S. cerevisiae","",""
"SGD:S000000170","YBL074C","S. cerevisiae","AAR2","A1-Alpha2 Repression"
"SGD:S000000171","YBL075C","S. cerevisiae","SSA3","Stress-Seventy subfamily A"
"SGD:S000000172","YBL076C","S. cerevisiae","ILS1","IsoLeucine-tRNA Synthetase"
"SGD:S000000174","YBL078C","S. cerevisiae","ATG8","AuTophaGy related"
"SGD:S000000175","YBL079W","S. cerevisiae","NUP170","NUclear Pore"
"SGD:S000000176","YBL080C","S. cerevisiae","PET112","PETite colonies"
"SGD:S000000177","YBL081W","S. cerevisiae","",""
"SGD:S000000178","YBL082C","S. cerevisiae","ALG3","Asparagine Linked Glycosylation"
"SGD:S000000180","YBL084C","S. cerevisiae","CDC27","Cell Division Cycle"
"SGD:S000000181","YBL085W","S. cerevisiae","BOI1","Bem1 (One) Interacting protein"
"SGD:S000000182","YBL086C","S. cerevisiae","",""
"SGD:S000000184","YBL088C","S. cerevisiae","TEL1","TELomere maintenance"
"SGD:S000000185","YBL089W","S. cerevisiae","AVT5","Amino acid Vacuolar Transport"
"SGD:S000000186","YBL090W","S. cerevisiae","MRP21","Mitochondrial Ribosomal Protein"
"SGD:S000000187","YBL091C","S. cerevisiae","MAP2","Methionine AminoPeptidase"
"SGD:S000000188","YBL092W","S. cerevisiae","RPL32","Ribosomal Protein of the Large subunit"
"SGD:S000000189","YBL093C","S. cerevisiae","ROX3","Regulation by OXygen"
"SGD:S000000190","YBL094C","S. cerevisiae","",""
"SGD:S000000191","YBL095W","S. cerevisiae","MRX3","Mitochondrial oRganization of gene eXpression (MIOREX)"
"SGD:S000000193","YBL097W","S. cerevisiae","BRN1","homolog of BaRreN"
"SGD:S000000194","YBL098W","S. cerevisiae","BNA4","Biosynthesis of Nicotinic Acid"
"SGD:S000000195","YBL099W","S. cerevisiae","ATP1","ATP synthase"
"SGD:S000000196","YBL100C","S. cerevisiae","",""
"SGD:S000000197","YBL101C","S. cerevisiae","ECM21","ExtraCellular Mutant"
"SGD:S000000198","YBL102W","S. cerevisiae","SFT2","Suppressor of sed Five Ts"
"SGD:S000000199","YBL103C","S. cerevisiae","RTG3","ReTroGrade regulation"
"SGD:S000000200","YBL104C","S. cerevisiae","SEA4","SEh1-Associated"
"SGD:S000000201","YBL105C","S. cerevisiae","PKC1","Protein Kinase C"
"SGD:S000000202","YBL106C","S. cerevisiae","SRO77","Suppressor of rho3"
"SGD:S000000203","YBL107C","S. cerevisiae","MIX23","Mitochondrial Intermembrane space CX(n)C motif protein"
"SGD:S000000204","YBL108W","S. cerevisiae","",""
"SGD:S000000205","YBR001C","S. cerevisiae","NTH2","Neutral TreHalase"
"SGD:S000000207","YBR003W","S. cerevisiae","COQ1","COenzyme Q"
"SGD:S000000208","YBR004C","S. cerevisiae","GPI18","GlycosylPhosphatidylInositol"
"SGD:S000000210","YBR006W","S. cerevisiae","UGA2","Utilization of GAba"
"SGD:S000000212","YBR008C","S. cerevisiae","FLR1","FLuconazole Resistance"
"SGD:S000000213","YBR009C","S. cerevisiae","HHF1","Histone H Four"
"SGD:S000000214","YBR010W","S. cerevisiae","HHT1","Histone H Three"
"SGD:S000000215","YBR011C","S. cerevisiae","IPP1","Inorganic PyroPhosphatase"
"SGD:S000000216","YBR012C","S. cerevisiae","",""
"SGD:S000000217","YBR013C","S. cerevisiae","",""
"SGD:S000000218","YBR014C","S. cerevisiae","GRX7","GlutaRedoXin"
"SGD:S000000219","YBR015C","S. cerevisiae","MNN2","MaNNosyltransferase"
"SGD:S000000221","YBR017C","S. cerevisiae","KAP104","KAryoPherin"
"SGD:S000000222","YBR018C","S. cerevisiae","GAL7","GALactose metabolism"
"SGD:S000000223","YBR019C","S. cerevisiae","GAL10","GALactose metabolism"
"SGD:S000000224","YBR020W","S. cerevisiae","GAL1","GALactose metabolism"
"SGD:S000000225","YBR021W","S. cerevisiae","FUR4","5-FlUoRouridine sensitivity"
"SGD:S000000227","YBR023C","S. cerevisiae","CHS3","CHitin Synthase-related"
"SGD:S000000228","YBR024W","S. cerevisiae","SCO2","Suppressor of Cytochrome Oxidase deficiency"
"SGD:S000000229","YBR025C","S. cerevisiae","OLA1","Obg-Like ATPase"
"SGD:S000000231","YBR027C","S. cerevisiae","",""
"SGD:S000000232","YBR028C","S. cerevisiae","YPK3",""
"SGD:S000000233","YBR029C","S. cerevisiae","CDS1","CDP-Diacylglycerol Synthase"
"SGD:S000000237","YBR033W","S. cerevisiae","EDS1","Expression Dependent on Slt2"
"SGD:S000000238","YBR034C","S. cerevisiae","HMT1","HnRNP MethylTransferase"
"SGD:S000000239","YBR035C","S. cerevisiae","PDX3","PyriDoXine auxotrophy"
"SGD:S000000240","YBR036C","S. cerevisiae","CSG2","Calcium Sensitive Growth"
"SGD:S000000241","YBR037C","S. cerevisiae","SCO1","Suppressor of Cytochrome Oxidase deficiency"
"SGD:S000000242","YBR038W","S. cerevisiae","CHS2","CHitin Synthase"
"SGD:S000000243","YBR039W","S. cerevisiae","ATP3","ATP synthase"
"SGD:S000000244","YBR040W","S. cerevisiae","FIG1","Factor-Induced Gene"
"SGD:S000000245","YBR041W","S. cerevisiae","FAT1","FATty acid transporter"
"SGD:S000000246","YBR042C","S. cerevisiae","CST26","Chromosome STability"
"SGD:S000000247","YBR043C","S. cerevisiae","QDR3","QuiniDine Resistance"
"SGD:S000000248","YBR044C","S. cerevisiae","TCM62","TriCarboxylic acid cycle Mutant"
"SGD:S000000249","YBR045C","S. cerevisiae","GIP1","Glc7-Interacting Protein"
"SGD:S000000251","YBR047W","S. cerevisiae","FMP23","Found in Mitochondrial Proteome"
"SGD:S000000253","YBR049C","S. cerevisiae","REB1","RNA polymerase I Enhancer Binding protein"
"SGD:S000000254","YBR050C","S. cerevisiae","REG2","REsistance to Glucose repression"
"SGD:S000000256","YBR052C","S. cerevisiae","RFS1","Rad55 (Fifty-five) Suppressor"
"SGD:S000000258","YBR054W","S. cerevisiae","YRO2",""
"SGD:S000000259","YBR055C","S. cerevisiae","PRP6","Pre-mRNA Processing"
"SGD:S000000260","YBR056W","S. cerevisiae","MRX18","Mitochondrial oRganization of gene eXpression (MIOREX)"
"SGD:S000000261","YBR057C","S. cerevisiae","MUM2","MUddled Meiosis"
"SGD:S000000262","YBR058C","S. cerevisiae","UBP14","UBiquitin-specific Protease"
"SGD:S000000263","YBR059C","S. cerevisiae","AKL1","Ark family Kinase-Like protein"
"SGD:S000000264","YBR060C","S. cerevisiae","ORC2","Origin Recognition Complex"
"SGD:S000000265","YBR061C","S. cerevisiae","TRM7","Transfer RNA Methyltransferase"
"SGD:S000000267","YBR063C","S. cerevisiae","CNM1","Contact Nucleus Mitochondria"
"SGD:S000000268","YBR064W","S. cerevisiae","",""
"SGD:S000000269","YBR065C","S. cerevisiae","ECM2","ExtraCellular Mutant"
"SGD:S000000270","YBR066C","S. cerevisiae","NRG2","Negative Regulator of Glucose-controlled genes"
"SGD:S000000271","YBR067C","S. cerevisiae","TIP1","Temperature shock-Inducible Protein"
"SGD:S000000272","YBR068C","S. cerevisiae","BAP2","Branched-chain Amino acid Permease"
"SGD:S000000273","YBR069C","S. cerevisiae","TAT1","Tyrosine and tryptophan Amino acid Transporter"
"SGD:S000000274","YBR070C","S. cerevisiae","ALG14","Asparagine Linked Glycosylation"
"SGD:S000000276","YBR072W","S. cerevisiae","HSP26","Heat Shock Protein"
"SGD:S000000277","YBR073W","S. cerevisiae","RDH54","RaD54 Homolog"
"SGD:S000000278","YBR074W","S. cerevisiae","PFF1","Protease in FXNA-related Family"
"SGD:S000000280","YBR076W","S. cerevisiae","ECM8","ExtraCellular Mutant"
"SGD:S000000281","YBR077C","S. cerevisiae","SLM4","Synthetic Lethal with Mss4"
"SGD:S000000282","YBR078W","S. cerevisiae","ECM33","ExtraCellular Mutant"
"SGD:S000000283","YBR079C","S. cerevisiae","RPG1",""
"SGD:S000000284","YBR080C","S. cerevisiae","SEC18","SECretory"
"SGD:S000000285","YBR081C","S. cerevisiae","SPT7","SuPpressor of Ty's"
"SGD:S000000286","YBR082C","S. cerevisiae","UBC4","UBiquitin-Conjugating"
"SGD:S000000287","YBR083W","S. cerevisiae","TEC1","Transposon Enhancement Control"
"SGD:S000000288","YBR084W","S. cerevisiae","MIS1","MItochondrial C1-tetrahydrofolate Synthase"
"SGD:S000000289","YBR085W","S. cerevisiae","AAC3","ADP/ATP Carrier"
"SGD:S000000290","YBR086C","S. cerevisiae","IST2","Increased Sodium Tolerance"
"SGD:S000000291","YBR087W","S. cerevisiae","RFC5","Replication Factor C"
"SGD:S000000292","YBR088C","S. cerevisiae","POL30","POLymerase"
"SGD:S000000293","YBR089W","S. cerevisiae","",""
"SGD:S000000294","YBR090C","S. cerevisiae","",""
"SGD:S000000295","YBR091C","S. cerevisiae","TIM12","Translocase of the Inner Membrane"
"SGD:S000000297","YBR093C","S. cerevisiae","PHO5","PHOsphate metabolism"
"SGD:S000000298","YBR094W","S. cerevisiae","PBY1","P-BodY associated protein"
"SGD:S000000299","YBR095C","S. cerevisiae","RXT2",""
"SGD:S000000300","YBR096W","S. cerevisiae","",""
"SGD:S000000301","YBR097W","S. cerevisiae","VPS15","Vacuolar Protein Sorting"
"SGD:S000000302","YBR098W","S. cerevisiae","MMS4","Methyl MethaneSulfonate sensitivity"
"SGD:S000000303","YBR099C","S. cerevisiae","",""
"SGD:S000000305","YBR101C","S. cerevisiae","FES1","Factor Exchange for Ssa1p"
"SGD:S000000306","YBR102C","S. cerevisiae","EXO84","EXOcyst"
"SGD:S000000307","YBR103W","S. cerevisiae","SIF2","Sir4p-Interacting Factor"
"SGD:S000000309","YBR105C","S. cerevisiae","VID24","Vacuolar Import and Degradation"
"SGD:S000000310","YBR106W","S. cerevisiae","SND3","SRP-iNDependent targeting"
"SGD:S000000311","YBR107C","S. cerevisiae","IML3","Increased Minichromosome Loss"
"SGD:S000000312","YBR108W","S. cerevisiae","AIM3","Altered Inheritance rate of Mitochondria"
"SGD:S000000313","YBR109C","S. cerevisiae","CMD1","CalMoDulin"
"SGD:S000000314","YBR110W","S. cerevisiae","ALG1","Asparagine-Linked Glycosylation"
"SGD:S000000316","YBR112C","S. cerevisiae","CYC8","CYtochrome C"
"SGD:S000000317","YBR113W","S. cerevisiae","",""
"SGD:S000000318","YBR114W","S. cerevisiae","RAD16","RADiation sensitive"
"SGD:S000000319","YBR115C","S. cerevisiae","LYS2","LYSine requiring"
"SGD:S000000320","YBR116C","S. cerevisiae","",""
"SGD:S000000321","YBR117C","S. cerevisiae","TKL2","TransKetoLase"
"SGD:S000000322","YBR118W","S. cerevisiae","TEF2","Translation Elongation Factor"
"SGD:S000000323","YBR119W","S. cerevisiae","MUD1","Mutant U1 Die"
"SGD:S000000324","YBR120C","S. cerevisiae","CBP6","Cytochrome B Protein synthesis"
"SGD:S000000325","YBR121C","S. cerevisiae","GRS1","Glycyl-tRNA Synthase"
"SGD:S000000326","YBR122C","S. cerevisiae","MRPL36","Mitochondrial Ribosomal Protein, Large subunit"
"SGD:S000000327","YBR123C","S. cerevisiae","TFC1","Transcription Factor class C"
"SGD:S000000328","YBR124W","S. cerevisiae","",""
"SGD:S000000329","YBR125C","S. cerevisiae","PTC4","Phosphatase Two C"
"SGD:S000000330","YBR126C","S. cerevisiae","TPS1","Trehalose-6-Phosphate Synthase"
"SGD:S000000331","YBR127C","S. cerevisiae","VMA2","Vacuolar Membrane Atpase"
"SGD:S000000332","YBR128C","S. cerevisiae","ATG14","AuTophaGy related"
"SGD:S000000333","YBR129C","S. cerevisiae","OPY1","Overproduction-induced Pheromone-resistant Yeast"
"SGD:S000000334","YBR130C","S. cerevisiae","SHE3","Swi5p-dependent HO Expression"
"SGD:S000000335","YBR131W","S. cerevisiae","CCZ1","Calcium Caffeine Zinc sensitivity"
"SGD:S000000336","YBR132C","S. cerevisiae","AGP2","high-Affinity Glutamine Permease"
"SGD:S000000337","YBR133C","S. cerevisiae","HSL7","Histone Synthetic Lethal"
"SGD:S000000338","YBR134W","S. cerevisiae","",""
"SGD:S000000339","YBR135W","S. cerevisiae","CKS1","Cdc28 Kinase Subunit"
"SGD:S000000340","YBR136W","S. cerevisiae","MEC1","Mitosis Entry Checkpoint"
"SGD:S000000341","YBR137W","S. cerevisiae","",""
"SGD:S000000342","YBR138C","S. cerevisiae","",""
"SGD:S000000343","YBR139W","S. cerevisiae","ATG42","AuTophaGy"
"SGD:S000000344","YBR140C","S. cerevisiae","IRA1","Inhibitory Regulator of the RAS-cAMP pathway"
"SGD:S000000345","YBR141C","S. cerevisiae","BMT2","Base MethylTransferase of 25S RNA"
"SGD:S000000346","YBR142W","S. cerevisiae","MAK5","MAintenance of Killer"
"SGD:S000000347","YBR143C","S. cerevisiae","SUP45","SUPpressor"
"SGD:S000000348","YBR144C","S. cerevisiae","",""
"SGD:S000000349","YBR145W","S. cerevisiae","ADH5","Alcohol DeHydrogenase"
"SGD:S000000350","YBR146W","S. cerevisiae","MRPS9","Mitochondrial Ribosomal Protein, Small subunit"
"SGD:S000000353","YBR149W","S. cerevisiae","ARA1","D-ARAbinose dehydrogenase"
"SGD:S000000354","YBR150C","S. cerevisiae","TBS1","ThiaBendazole Sensitive"
"SGD:S000000356","YBR152W","S. cerevisiae","SPP381","Suppressor of PrP38-1"
"SGD:S000000358","YBR154C","S. cerevisiae","RPB5","RNA Polymerase B"
"SGD:S000000359","YBR155W","S. cerevisiae","CNS1","CyclophiliN Seven suppressor"
"SGD:S000000360","YBR156C","S. cerevisiae","SLI15","Synthetically Lethal with Ipl1"
"SGD:S000000361","YBR157C","S. cerevisiae","ICS2","Increased Copper Sensitivity"
"SGD:S000000362","YBR158W","S. cerevisiae","AMN1","Antagonist of Mitotic exit Network"
"SGD:S000000363","YBR159W","S. cerevisiae","IFA38",""
"SGD:S000000364","YBR160W","S. cerevisiae","CDC28","Cell Division Cycle"
"SGD:S000000365","YBR161W","S. cerevisiae","CSH1","CSG1/SUR1 Homolog"
"SGD:S000000366","YBR162C","S. cerevisiae","TOS1","Target Of Sbf"
"SGD:S000000370","YBR166C","S. cerevisiae","TYR1","TYRosine"
"SGD:S000000371","YBR167C","S. cerevisiae","POP7","Processing Of Precursor RNAs"
"SGD:S000000372","YBR168W","S. cerevisiae","PEX32","PEroXisome related"
"SGD:S000000373","YBR169C","S. cerevisiae","SSE2","Stress Seventy subfamily E"
"SGD:S000000374","YBR170C","S. cerevisiae","NPL4","Nuclear Protein Localization"
"SGD:S000000375","YBR171W","S. cerevisiae","SEC66","SECretory"
"SGD:S000000376","YBR172C","S. cerevisiae","SMY2","Suppressor of MYo2-66"
"SGD:S000000377","YBR173C","S. cerevisiae","UMP1","Ubiquitin-Mediated Proteolysis"
"SGD:S000000378","YBR174C","S. cerevisiae","",""
"SGD:S000000379","YBR175W","S. cerevisiae","SWD3","Set1c, WD40 repeat protein"
"SGD:S000000380","YBR176W","S. cerevisiae","ECM31","ExtraCellular Mutant"
"SGD:S000000382","YBR178W","S. cerevisiae","",""
"SGD:S000000383","YBR179C","S. cerevisiae","FZO1","FuZzy Onions homolog"
"SGD:S000000384","YBR180W","S. cerevisiae","DTR1","DiTyRosine"
"SGD:S000000385","YBR181C","S. cerevisiae","RPS6B","Ribosomal Protein of the Small subunit"
"SGD:S000000387","YBR183W","S. cerevisiae","YPC1","Yeast Phyto-Ceramidase"
"SGD:S000000388","YBR184W","S. cerevisiae","",""
"SGD:S000000389","YBR185C","S. cerevisiae","MBA1","Multi-copy Bypass of AFG3"
"SGD:S000000390","YBR186W","S. cerevisiae","PCH2","Pachytene CHeckpoint"
"SGD:S000000391","YBR187W","S. cerevisiae","GDT1","Gcr1 Dependent Translation factor"
"SGD:S000000392","YBR188C","S. cerevisiae","NTC20","Prp19p (NineTeen)-associated Complex"
"SGD:S000000394","YBR190W","S. cerevisiae","",""
"SGD:S000000396","YBR192W","S. cerevisiae","RIM2","Replication In Mitochondria"
"SGD:S000000397","YBR193C","S. cerevisiae","MED8","MEDiator complex"
"SGD:S000000398","YBR194W","S. cerevisiae","AIM4","Altered Inheritance rate of Mitochondria"
"SGD:S000000399","YBR195C","S. cerevisiae","MSI1","Multicopy Suppressor of IRA1"
"SGD:S000000400","YBR196C","S. cerevisiae","PGI1","PhosphoGlucoIsomerase"
"SGD:S000000401","YBR197C","S. cerevisiae","",""
"SGD:S000000402","YBR198C","S. cerevisiae","TAF5","TATA binding protein-Associated Factor"
